iter	Passed	Remaining
439	28305	36024
440	28358	35946
441	28418	35876
442	28463	35788
443	28508	35699
444	28563	35624
445	28619	35550
446	28665	35462
447	28713	35379
448	28760	35293
449	28821	35226
450	28873	35147
451	28916	35058
452	28965	34976
453	29009	34887
454	29069	34819
455	29125	34746
456	29214	34712
457	29300	34674
458	29366	34612
459	29415	34531
460	29463	34448
461	29514	34369
462	29579	34307
463	29627	34224
464	29673	34140
465	29725	34063
466	29794	34005
467	29841	33922
468	29893	33844
469	29944	33767
470	30011	33706
471	30059	33626
472	30105	33543
473	30155	33463
474	30216	33396
475	30273	33326
476	30329	33254
477	30389	33186
478	30452	33122
479	30499	33041
480	30547	32960
481	30593	32878
482	30656	32814
483	30710	32741
484	30754	32656
485	30801	32576
486	30853	32500
487	30916	32436
488	30971	32365
489	31020	32286
490	31064	32203
491	31116	32127
492	31172	32057
493	31226	31985
494	31270	31902
495	31318	31823
496	31372	31751
497	31527	31780
498	31593	31720
499	31654	31654
500	31712	31585
501	31758	31505
502	31805	31426
503	31863	31357
504	31918	31286
505	31966	31208
506	32015	31131
507	32062	31053
508	32124	30988
509	32175	30913
510	32222	30835
511	32268	30756
512	32331	30693
513	32390	30626
514	32440	30550
515	32488	30473
516	32547	30406
517	32599	30334
518	32652	30261
519	32696	30181
520	32742	30103
521	32801	30036
522	32860	29969
523	32904	29890
524	32957	29818
525	33004	29741
526	33062	29674
527	33121	29608
528	33172	29535
529	33214	29454
530	33259	29376
531	33326	29317
532	33380	29247
533	33429	29172
534	33476	29096
535	33520	29017
536	33589	28960
537	33641	28889
538	33686	28811
539	33733	28736
540	33776	28657
541	33830	28586
542	33885	28518
543	33933	28444
544	33984	28372
545	34030	28296
546	34096	28237
547	34150	28168
548	34195	28091
549	34245	28018
550	34314	27961
551	34368	27893
552	34417	27820
553	34468	27749
554	34529	27685
555	34577	27612
556	34622	27536
557	34669	27462
558	34724	27394
559	34789	27334
560	34831	27256
561	34880	27184
562	34948	27127
563	34999	27056
564	35045	26982
565	35098	26912
566	35145	26839
567	35209	26779
568	35253	26703
569	35304	26633
570	35355	26563
571	35403	26491
572	35464	26427
573	35519	26360
574	35569	26290
575	35620	26220
576	35688	26163
577	35762	26110
578	35823	26047
579	35882	25983
580	35969	25939
581	36034	25880
582	36109	25827
583	36176	25769
584	36316	25763
585	36394	25712
586	36459	25651
587	36508	25580
588	36553	25507
589	36601	25434
590	36658	25369
591	36712	25301
592	36761	25231
593	36811	25160
594	36863	25091
595	36929	25032
596	36981	24963
597	37029	24892
598	37077	24821
599	37140	24760
600	37198	24695
601	37243	24623
602	37296	24555
603	37353	24489
604	37413	24426
605	37466	24359
606	37518	24291
607	37575	24226
608	37633	24161
609	37685	24093
610	37734	24024
611	37788	23957
612	37849	23895
613	37902	23828
614	37952	23759
615	38011	23695
616	38074	23634
617	38121	23563
618	38171	23495
619	38225	23428
620	38292	23370
621	38341	23301
622	38386	23229
623	38431	23157
624	38499	23099
625	38543	23027
626	38593	22958
627	38638	22887
628	38698	22825
629	38766	22767
630	38840	22713
631	38900	22651
632	38989	22605
633	39044	22539
634	39111	22481
635	39174	22420
636	39239	22361
637	39299	22298
638	39348	22229
639	39393	22158
640	39436	22086
641	39492	22022
642	39551	21959
643	39596	21888
644	39642	21818
645	39689	21749
646	39922	21781
647	40068	21765
648	40165	21722
649	40221	21657
650	40272	21590
651	40320	21520
652	40375	21455
653	40437	21393
654	40487	21325
655	40537	21257
656	40592	21192
657	40653	21129
658	40703	21062
659	40752	20993
660	40794	20921
661	40858	20861
662	40923	20801
663	40970	20732
664	41015	20661
665	41062	20592
666	41126	20532
667	41181	20467
668	41230	20399
669	41279	20331
670	41323	20261
671	41379	20197
672	41426	20128
673	41479	20062
674	41529	19995
675	41576	19927
676	41637	19865
677	41690	19800
678	41739	19732
679	41784	19663
680	41835	19597
681	41898	19536
682	41954	19472
683	41999	19403
684	42047	19335
685	42090	19265
686	42156	19206
687	42210	19141
688	42260	19075
689	42305	19006
690	42384	18953
691	42551	18939
692	42610	18876
693	42681	18819
694	42726	18750
695	42776	18683
696	42828	18618
697	42896	18559
698	42947	18493
699	43001	18429
700	43056	18364
701	43105	18298
702	43163	18235
703	43223	18173
704	43274	18107
705	43319	18039
706	43362	17970
707	43449	17919
708	43504	17855
709	43554	17789
710	43601	17722
711	43652	17657
712	43719	17598
713	43770	17532
714	43822	17467
715	43876	17403
716	43935	17341
717	43979	17273
718	44029	17207
719	44075	17140
720	44142	17081
721	44202	17019
722	44249	16952
723	44295	16886
724	44342	16819
725	44403	16758
726	44461	16695
727	44510	16630
728	44562	16565
729	44613	16500
730	44675	16440
731	44721	16373
732	44772	16308
733	44819	16242
734	44882	16182
735	44936	16118
736	44990	16055
737	45042	15990
738	45098	15928
739	45176	15872
740	45240	15812
741	45297	15750
742	45381	15697
743	45441	15635
744	45492	15571
745	45547	15507
746	45611	15448
747	45669	15386
748	45725	15323
749	45775	15258
750	45828	15194
751	45887	15133
752	45938	15068
753	45991	15005
754	46050	14943
755	46116	14884
756	46165	14819
757	46217	14755
758	46272	14692
759	46332	14631
760	46375	14564
761	46427	14501
762	46578	14468
763	46658	14412
764	46707	14347
765	46749	14281
766	46792	14214
767	46857	14154
768	46907	14090
769	46959	14026
770	47005	13961
771	47068	13900
772	47126	13839
773	47173	13774
774	47219	13708
775	47263	13643
776	47323	13581
777	47371	13517
778	47422	13453
779	47470	13389
780	47518	13324
781	47573	13262
782	47653	13206
783	47715	13146
784	47758	13080
785	47814	13018
786	47870	12955
787	47921	12892
788	47974	12829
789	48024	12766
790	48087	12705
791	48196	12657
792	48248	12594
793	48316	12535
794	48391	12478
795	48452	12417
796	48508	12355
797	48578	12296
798	48627	12233
799	48682	12170
800	48730	12106
801	48788	12044
802	48864	11987
803	48921	11926
804	48984	11865
805	49063	11809
806	49141	11752
807	49194	11689
808	49247	11627
809	49310	11566
810	49442	11522
811	49668	11499
812	49769	11447
813	49828	11385
814	49895	11326
815	49964	11266
816	50029	11206
817	50123	11152
818	50537	11168
819	50832	11158
820	50982	11115
821	51055	11055
822	51125	10995
823	51190	10933
824	51239	10869
825	51323	10811
826	51373	10746
827	51439	10685
828	51498	10622
829	51550	10558
830	51625	10498
831	51681	10435
832	51745	10373
833	51964	10343
834	52111	10297
835	52167	10233
836	52240	10173
837	52307	10111
838	52362	10048
839	52420	9984
840	52514	9928
841	52594	9869
842	52687	9812
843	52765	9752
844	52845	9693
845	52910	9631
846	52962	9567
847	53034	9506
848	53126	9448
849	53180	9384
850	53232	9320
851	53296	9258
852	53409	9204
853	53490	9144
854	53542	9080
855	53602	9017
856	53688	8958
857	53742	8894
858	53802	8831
859	53905	8775
860	54027	8722
861	54108	8662
862	54211	8606
863	54272	8542
864	54371	8485
865	54487	8431
866	54571	8371
867	54679	8315
868	54732	8250
869	54788	8186
870	54847	8123
871	54910	8060
872	54979	7998
873	55040	7934
874	55099	7871
875	55176	7810
876	55233	7746
877	55286	7682
878	55337	7617
879	55392	7553
880	55473	7492
881	55525	7428
882	55589	7365
883	55658	7303
884	55718	7240
885	55775	7176
886	55830	7112
887	55892	7049
888	55960	6987
889	56025	6924
890	56076	6860
891	56150	6798
892	56211	6735
893	56262	6670
894	56317	6607
895	56372	6543
896	56438	6480
897	56492	6416
898	56557	6354
899	56611	6290
900	56667	6226
901	56740	6164
902	56795	6100
903	56849	6037
904	56925	5975
905	56992	5913
906	57056	5850
907	57111	5786
908	57188	5725
909	57243	5661
910	57294	5597
911	57347	5533
912	57405	5470
913	57486	5408
914	57540	5345
915	57604	5282
916	57681	5220
917	57735	5157
918	57784	5093
919	57839	5029
920	57896	4966
921	57967	4903
922	58022	4840
923	58074	4776
924	58155	4715
925	58207	4651
926	58257	4587
927	58307	4523
928	58364	4460
929	58448	4399
930	58502	4335
931	58557	4272
932	58632	4210
933	58694	4147
934	58752	4084
935	58802	4020
936	58865	3957
937	58937	3895
938	58994	3832
939	59056	3769
940	59143	3708
941	59196	3644
942	59254	3581
943	59314	3518
944	59377	3455
945	59445	3393
946	59500	3330
947	59561	3267
948	59641	3205
949	59712	3142
950	59771	3079
951	59842	3017
952	59944	2956
953	59990	2892
954	60070	2830
955	60252	2773
956	60323	2710
957	60400	2648
958	60506	2586
959	60875	2536
960	61087	2479
961	61213	2417
962	61322	2356
963	61393	2292
964	61464	2229
965	61539	2166
966	61632	2103
967	61701	2039
968	61823	1977
969	62023	1918
970	62209	1857
971	62323	1795
972	62393	1731
973	62464	1667
974	62521	1603
975	62588	1539
976	62643	1474
977	62714	1410
978	62785	1346
979	62837	1282
980	62892	1218
981	62955	1153
982	63034	1090
983	63088	1025
984	63157	961
985	63275	898
986	63328	834
987	63394	769
988	63461	705
989	63515	641
990	63568	577
991	63637	513
992	63720	449
993	63799	385
994	63879	321
995	63948	256
996	64022	192
997	64077	128
998	64165	64
999	64325	0
